Date,LTC.open,LTC.close,LTC.high,LTC.low,LTC.volume
2017-10-01 00:00:00,55.56,55.688,55.892,55.482,4796.95590674
2017-10-01 00:30:00,55.605,55.517,55.703,55.51,3519.01210282
2017-10-01 01:00:00,55.545,55.012,55.584,54.911,10515.50919707
2017-10-01 01:30:00,55.007,55.115,55.25,55.001,2512.56556786
2017-10-01 02:00:00,55.115,54.585,55.115,54.584,5687.82099963
2017-10-01 02:30:00,54.598,54.248,54.767,54.226,8131.97965799
2017-10-01 03:00:00,54.235,54.32,54.73,54.104,8148.96825753
2017-10-01 03:30:00,54.321,54.538,54.643,54.24,2688.92647078
2017-10-01 04:00:00,54.538,54.505,54.779,54.49,4557.0996252899995
2017-10-01 04:30:00,54.493,54.674,54.7,54.493,1468.60892336
2017-10-01 05:00:00,54.674,54.6,54.676,54.287,2242.65635644
2017-10-01 05:30:00,54.6,54.532,54.798,54.375,3836.66932787
2017-10-01 06:00:00,54.5,54.6,54.77,54.15,5082.16265495
2017-10-01 06:30:00,54.638,54.6,54.81,54.547,2446.03766372
2017-10-01 07:00:00,54.6,54.567,54.68,54.431,2577.58159021
2017-10-01 07:30:00,54.566,54.587,54.721,54.552,2232.65193657
2017-10-01 08:00:00,54.639,54.503,54.639,54.32,2353.97268847
2017-10-01 08:30:00,54.503,54.383,54.561,53.944,7815.63487649
2017-10-01 09:00:00,54.383,54.547,54.59,54.301,3131.38203994
2017-10-01 09:30:00,54.525,54.5,54.548,54.437,3384.67814165
2017-10-01 10:00:00,54.499,54.556,54.59,54.299,3946.55949123
2017-10-01 10:30:00,54.553,54.539,54.577,54.477,624.91895885
2017-10-01 11:00:00,54.54,54.534,54.628,54.282,1797.74473643
2017-10-01 11:30:00,54.529,54.256,54.539,54.256,1825.06956151
2017-10-01 12:00:00,54.256,53.869,54.3,53.81,7393.15577785
2017-10-01 12:30:00,53.894,53.828,53.913,53.654,3542.10921443
2017-10-01 13:00:00,53.85,53.744,53.86,53.503,4490.96194801
2017-10-01 13:30:00,53.74,53.79,53.85,53.691,1705.69938088
2017-10-01 14:00:00,53.779,54.089,54.281,53.7,5659.26165719
2017-10-01 14:30:00,54.064,53.952,54.23,53.912,2531.6440535
2017-10-01 15:00:00,53.952,54.034,54.117,53.891,1427.41909851
2017-10-01 15:30:00,54.034,54.103,54.174,53.875,3683.50079671
2017-10-01 16:00:00,54.112,54.208,54.309,53.926,7247.74505839
2017-10-01 16:30:00,54.208,54.147,54.39,54.147,4670.38297227
2017-10-01 17:00:00,54.14,53.999,54.149,53.964,1791.83596556
2017-10-01 17:30:00,53.999,54.036,54.11,53.901,2527.8899037
2017-10-01 18:00:00,54.036,54.051,54.11,54.028,1267.14315651
2017-10-01 18:30:00,54.051,54.058,54.135,54.003,1252.09199049
2017-10-01 19:00:00,54.058,54.101,54.251,54.051,1360.78762882
2017-10-01 19:30:00,54.1,54.075,54.111,54.058,693.8486556500001
2017-10-01 20:00:00,54.075,54.085,54.15,54.05,2588.82356064
2017-10-01 20:30:00,54.085,54.2,54.6,54.004,6905.97763675
2017-10-01 21:00:00,54.2,54.355,54.486,54.176,5318.95503969
2017-10-01 21:30:00,54.355,54.42,54.56,54.239,4643.03223032
2017-10-01 22:00:00,54.421,54.569,54.68,54.42,5592.48917176
2017-10-01 22:30:00,54.562,54.931,55.247,54.558,17470.09184429
2017-10-01 23:00:00,54.96,54.929,55.096,54.727,5689.51988832
2017-10-01 23:30:00,54.922,54.872,54.99,54.673,4256.77852594
2017-10-02 00:00:00,54.876,54.78,54.96,54.708,5171.98099841
2017-10-02 00:30:00,54.785,54.761,54.909,54.611,9837.70474394
2017-10-02 01:00:00,54.761,54.766,54.905,54.702,7364.09887867
2017-10-02 01:30:00,54.844,54.696,54.855,54.597,2414.54226562
2017-10-02 02:00:00,54.672,54.771,54.825,54.598,4943.67924185
2017-10-02 02:30:00,54.772,54.765,54.842,54.695,6275.30078105
2017-10-02 03:00:00,54.765,54.815,54.867,54.68,6665.68832011
2017-10-02 03:30:00,54.814,54.795,54.866,54.755,2696.8838871
2017-10-02 04:00:00,54.812,54.851,55.0,54.775,6175.7777545
2017-10-02 04:30:00,54.852,54.78,54.979,54.77,2147.60050983
2017-10-02 05:00:00,54.789,54.786,54.79,54.754,2089.09754204
2017-10-02 05:30:00,54.785,54.788,55.0,54.757,4889.33574189
2017-10-02 06:00:00,54.789,54.844,54.984,54.787,4704.01120718
2017-10-02 06:30:00,54.844,54.81,54.86,54.75,1608.84232739
2017-10-02 07:00:00,54.81,54.792,54.863,54.39,5746.28971517
2017-10-02 07:30:00,54.792,54.57,54.816,54.495,7483.39164277
2017-10-02 08:00:00,54.566,54.769,54.769,54.516,1289.0862639700001
2017-10-02 08:30:00,54.714,54.75,54.794,54.605,1670.76303109
2017-10-02 09:00:00,54.75,54.77,54.799,54.74,2702.43074397
2017-10-02 09:30:00,54.77,54.83,55.222,54.77,4087.29964819
2017-10-02 10:00:00,54.822,54.773,54.873,54.66,4183.79523263
2017-10-02 10:30:00,54.774,54.741,54.787,54.681,2200.16357798
2017-10-02 11:00:00,54.742,54.694,54.775,54.691,3392.74851937
2017-10-02 11:30:00,54.731,54.118,54.757,53.889,11132.50829559
2017-10-02 12:00:00,54.093,53.962,54.27,53.776,4907.61590175
2017-10-02 12:30:00,53.895,53.69,53.991,53.661,3699.92701884
2017-10-02 13:00:00,53.678,53.838,53.969,53.52,6254.62850622
2017-10-02 13:30:00,53.838,54.0,54.0,53.838,2352.11680085
2017-10-02 14:00:00,53.991,54.03,54.03,53.762,1831.9861
2017-10-02 14:30:00,54.031,54.18,54.228,54.006,2809.40146114
2017-10-02 15:00:00,54.181,53.952,54.191,53.854,561.26239284
2017-10-02 15:30:00,53.927,53.799,54.064,53.678,1530.09319012
2017-10-02 16:00:00,53.8,53.854,54.046,53.799,3030.77438443
2017-10-02 16:30:00,53.89,53.729,53.957,53.679,2043.21916947
2017-10-02 17:00:00,53.739,53.663,53.855,53.604,2902.15170866
2017-10-02 17:30:00,53.66,53.241,53.66,53.241,4568.13800579
2017-10-02 18:00:00,53.381,53.264,53.424,52.8,10702.62365457
2017-10-02 18:30:00,53.292,53.069,53.548,53.026,2323.06519901
2017-10-02 19:00:00,53.069,53.45,53.622,53.068,2280.89740153
2017-10-02 19:30:00,53.46,53.498,53.637,53.283,5551.49652385
2017-10-02 20:00:00,53.5,53.46,53.634,53.432,4164.49496681
2017-10-02 20:30:00,53.48,53.433,53.59,53.432,1338.91469841
2017-10-02 21:00:00,53.46,53.199,53.509,53.15,4342.12908082
2017-10-02 21:30:00,53.199,53.094,53.325,53.091,1453.83054642
2017-10-02 22:00:00,53.162,53.253,53.335,52.961,3983.61702616
2017-10-02 22:30:00,53.256,53.109,53.39,53.096,920.33212941
2017-10-02 23:00:00,53.11,53.251,53.34,53.11,1464.07987592
2017-10-02 23:30:00,53.283,53.261,53.389,53.251,726.14975797
2017-10-03 00:00:00,53.347,53.354,53.385,53.26,764.36897802
2017-10-03 00:30:00,53.355,53.307,53.355,53.228,715.99851005
2017-10-03 01:00:00,53.307,53.174,53.309,53.052,3532.77079113
2017-10-03 01:30:00,53.174,53.274,53.51,53.117,5012.94280292
2017-10-03 02:00:00,53.274,53.45,53.527,53.2,3697.21573121
2017-10-03 02:30:00,53.502,53.3,53.571,53.276,2040.27935737
2017-10-03 03:00:00,53.317,53.317,53.516,53.28,2010.25013923
2017-10-03 03:30:00,53.317,53.35,53.38,53.307,364.13080895
2017-10-03 04:00:00,53.351,53.32,53.38,53.32,551.99219278
2017-10-03 04:30:00,53.305,53.335,53.357,53.29,948.91670218
2017-10-03 05:00:00,53.35,52.653,53.407,52.57,7998.83892338
2017-10-03 05:30:00,52.841,52.399,52.883,52.149,9263.34949614
2017-10-03 06:00:00,52.397,51.853,52.476,51.61,10069.3358228
2017-10-03 06:30:00,51.834,51.79,52.35,51.6,7811.99024725
2017-10-03 07:00:00,51.754,51.719,51.813,51.36,4045.72602954
2017-10-03 07:30:00,51.717,51.66,52.1,51.64,2232.72880604
2017-10-03 08:00:00,51.669,51.928,52.053,51.492,7340.86251302
2017-10-03 08:30:00,51.949,52.215,52.345,51.913,4213.60880068
2017-10-03 09:00:00,52.215,51.75,52.33,51.738,1541.68653297
2017-10-03 09:30:00,51.75,51.654,51.888,51.62,1270.12392359
2017-10-03 10:00:00,51.702,51.7,51.776,51.251,4587.6233401
2017-10-03 10:30:00,51.7,51.878,51.95,51.7,2913.34864362
2017-10-03 11:00:00,51.878,51.834,51.907,51.749,1296.4854292100001
2017-10-03 11:30:00,51.826,51.898,51.928,51.523,3452.17310973
2017-10-03 12:00:00,51.898,51.817,51.95,51.706,1756.26794277
2017-10-03 12:30:00,51.815,51.59,51.815,51.491,2624.48069366
2017-10-03 13:00:00,51.589,51.549,51.59,51.111,6634.12915487
2017-10-03 13:30:00,51.55,51.553,51.735,51.353,2133.4717285
2017-10-03 14:00:00,51.431,51.423,51.601,51.422,3550.23537221
2017-10-03 14:30:00,51.479,51.72,51.748,51.42,3058.42653715
2017-10-03 15:00:00,51.719,51.78,51.915,51.715,2225.95235874
2017-10-03 15:30:00,51.774,51.8,51.869,51.68,3002.74901178
2017-10-03 16:00:00,51.8,51.85,52.136,51.799,4885.4390405
2017-10-03 16:30:00,51.849,51.665,51.974,51.661,2195.51038825
2017-10-03 17:00:00,51.692,51.746,51.752,51.531,1870.12519252
2017-10-03 17:30:00,51.689,51.851,51.895,51.67,1900.34308322
2017-10-03 18:00:00,51.85,51.888,52.136,51.84,3845.04169436
2017-10-03 18:30:00,51.882,51.959,52.166,51.838,3757.10476418
2017-10-03 19:00:00,52.078,51.986,52.097,51.9,2198.56102953
2017-10-03 19:30:00,51.919,51.803,51.997,51.589,5538.35821416
2017-10-03 20:00:00,51.822,51.776,51.823,51.664,1024.07903427
2017-10-03 20:30:00,51.776,51.818,51.898,51.741,1103.8510132000001
2017-10-03 21:00:00,51.845,51.854,52.03,51.811,1814.26689561
